idcode,SMU,SM,PK1,PK2,PK3,ENT1,ENT2,ENT3,ENT4,INT1,INT2,INT3,CUS1,CUS2,CUS3,CUS4,TRE1,TRE2,TRE3,TRE4,WOM1,WOM2,WOM3,WOM4,CPI1,CPI2,CPI3,CPI4,CPI5,CPI6,CPI7,CP18,RB1,RB2,RB3,RB4,RB5,RB6,VI1,VI2,VI3,VI4,VI5,Age
1,1,1,1,0,0,4,4,4,5,5,4,4,2,3,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,3,3,3,4,25
2,1,1,1,1,0,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,3,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,23
3,1,1,1,1,1,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,3,4,3,4,5,5,5,4,5,5,5,5,5,5,5,5,3,5,5,5,5,5,24
4,1,1,1,1,1,5,5,5,5,5,4,4,5,5,4,5,4,2,4,4,4,1,4,4,4,3,4,4,4,2,4,4,5,5,5,5,5,5,4,4,5,4,4,24
5,1,1,1,1,1,4,5,4,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,4,4,5,4,5,4,4,4,4,5,4,24
6,1,1,1,1,1,4,5,3,2,4,3,5,4,5,4,3,3,4,4,3,5,4,3,4,1,2,4,3,4,3,4,3,5,4,3,4,5,3,4,2,1,2,4,23
7,1,1,1,1,1,5,5,5,5,4,4,4,4,4,4,3,4,4,4,5,3,2,3,3,4,4,5,5,4,4,4,5,5,4,4,4,4,3,5,5,4,4,5,23
8,1,1,1,1,1,4,3,3,5,5,3,3,4,3,3,4,4,4,4,5,4,3,3,3,4,4,5,5,5,5,5,5,5,5,4,3,3,2,3,4,3,3,5,24
9,1,2,1,1,1,4,4,4,5,4,3,4,3,4,4,4,4,4,5,5,3,1,1,3,4,4,4,5,4,4,4,4,5,4,4,4,4,5,4,3,3,3,4,23
10,1,2,1,0,1,4,4,5,5,5,4,3,4,5,4,4,4,5,4,5,4,5,4,4,3,5,4,5,3,4,4,5,5,5,5,5,5,4,3,4,4,4,5,23
11,1,3,1,1,1,4,3,4,5,5,4,5,4,5,5,4,4,3,4,4,3,4,5,5,5,4,3,4,5,4,5,5,4,5,3,5,4,5,5,4,5,3,5,22
12,1,3,0,0,1,5,4,5,5,2,5,4,2,4,2,4,5,5,4,5,5,4,2,5,4,5,4,5,4,5,4,4,5,4,5,4,4,2,5,4,5,4,5,22
13,1,4,1,1,1,5,5,4,4,5,4,2,5,4,5,4,5,4,5,5,2,5,5,2,4,2,5,4,5,5,4,5,4,5,4,4,5,5,4,4,5,5,5,24
14,1,1,1,0,0,5,4,5,5,4,5,5,5,4,5,4,2,5,4,5,5,5,4,5,4,5,5,5,4,5,5,4,4,5,4,5,5,4,5,4,4,5,2,24
15,1,5,1,1,1,2,2,5,4,5,4,5,5,4,5,4,5,4,5,5,4,5,4,5,4,4,5,5,4,5,4,5,4,5,4,5,5,5,4,5,4,5,5,23
16,1,3,1,1,1,5,5,5,4,4,4,5,5,4,4,5,5,5,4,2,4,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,5,20
17,1,1,1,0,1,4,4,4,5,4,4,4,2,3,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,24
18,1,1,1,1,1,3,4,4,4,5,4,4,3,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,5,5,4,5,5,5,4,4,4,5,4,5,24
19,1,1,1,1,1,5,5,5,5,5,5,5,4,3,5,5,5,5,5,5,4,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,24
20,1,1,1,1,1,4,3,4,5,4,4,4,4,4,2,3,4,4,4,4,4,2,3,4,4,3,5,5,4,4,4,5,4,4,4,3,3,4,4,4,4,4,4,23
21,1,1,1,1,1,4,5,5,4,4,4,5,5,5,4,4,5,5,5,4,4,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,2,5,4,5,4,5,20
22,1,2,1,1,1,5,4,5,5,4,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,4,4,4,5,5,4,4,5,4,5,4,5,4,5,5,5,5,5,24
23,1,1,1,0,1,5,5,5,4,4,4,5,5,5,5,4,5,5,4,4,5,5,3,5,5,5,5,5,4,4,5,5,5,4,5,5,4,5,5,5,4,5,4,25
24,1,2,1,1,1,5,5,5,4,4,4,5,5,5,4,5,5,4,5,4,5,5,4,4,5,5,5,4,5,5,4,5,5,4,5,4,5,5,4,5,5,4,5,24
25,1,5,1,1,1,5,5,4,5,5,4,5,5,5,5,5,4,4,4,5,5,5,4,5,4,5,4,5,5,4,4,5,5,4,5,4,5,4,4,4,5,5,5,23
26,1,3,1,0,0,4,5,5,5,4,4,4,5,5,5,5,4,4,5,5,4,5,5,4,4,5,5,5,5,5,4,4,5,5,4,4,5,5,4,5,4,5,4,26
27,1,1,1,0,1,5,5,4,5,5,4,5,4,5,5,4,5,4,5,4,5,5,5,5,4,4,4,4,5,5,4,4,5,5,4,5,5,5,4,4,5,5,4,22
28,1,1,1,1,1,5,5,4,4,5,5,5,4,4,5,4,5,4,5,5,4,5,5,4,5,5,5,5,4,5,5,5,5,5,4,5,5,4,5,5,4,5,5,25
29,1,1,1,1,1,5,5,4,4,5,5,4,5,5,4,5,4,4,5,5,5,4,5,4,5,5,5,4,4,5,4,5,4,4,5,5,4,4,5,5,5,4,4,23
30,1,3,1,1,1,5,5,5,5,4,4,5,5,5,5,4,5,5,4,4,5,4,5,4,5,5,5,5,4,4,5,5,4,5,5,4,5,4,5,5,4,5,4,24
31,1,1,1,1,1,5,5,5,4,4,5,5,5,4,5,5,5,4,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,23
32,1,1,1,1,1,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,5,5,4,5,5,5,4,5,5,4,4,5,5,4,5,5,4,5,4,5,4,2,26
33,1,1,1,1,0,5,5,5,5,4,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,5,5,5,4,4,5,24
34,1,1,1,1,1,5,4,5,5,5,5,4,4,5,4,5,4,4,5,5,5,4,5,4,5,4,4,5,5,4,4,5,5,5,5,4,5,5,5,4,5,5,5,25
35,1,1,1,1,1,4,5,5,4,5,5,5,4,5,5,4,5,4,5,4,5,5,4,5,5,4,5,4,5,5,5,4,5,4,5,5,4,5,5,5,4,4,5,22
36,1,2,1,1,1,5,4,5,4,5,5,5,4,5,5,5,4,5,5,4,5,5,4,5,4,5,5,5,5,4,4,5,4,4,5,5,5,4,5,5,5,4,5,25
37,1,1,1,1,1,4,4,5,5,4,5,4,5,4,5,5,5,4,5,5,4,5,5,4,5,4,5,4,5,5,4,4,5,5,5,4,5,5,5,5,5,4,4,25
38,1,1,1,1,1,5,5,4,4,5,5,5,4,5,5,5,4,5,4,5,5,4,5,5,4,5,5,4,5,4,4,4,4,5,4,5,4,4,5,5,4,5,5,24
39,1,2,1,1,1,5,5,4,5,5,4,5,4,5,5,4,5,5,4,5,5,5,4,5,4,5,4,5,5,5,4,5,4,5,5,4,5,5,4,5,4,5,4,25
40,1,2,1,1,0,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,5,4,5,4,5,5,4,5,4,5,5,26
41,1,1,1,1,1,5,4,5,5,4,5,4,5,4,5,4,5,4,4,5,5,4,5,5,4,5,5,4,4,5,5,4,4,5,4,5,5,4,5,4,5,4,4,27
42,1,3,1,1,0,5,4,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,4,5,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,4,5,4,25
43,1,1,1,1,1,5,4,5,5,4,5,4,5,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,5,4,5,4,5,4,5,5,4,5,5,4,5,4,23
44,1,3,1,1,1,5,5,4,5,4,5,5,5,4,5,5,5,4,5,4,5,5,4,4,5,5,4,5,5,5,4,5,4,5,4,5,4,5,4,5,5,5,4,23
45,1,2,1,1,1,4,5,5,4,5,4,4,5,5,4,4,5,4,5,4,5,5,4,5,5,4,5,4,5,4,5,4,5,5,5,4,4,5,5,4,5,5,4,23
46,1,3,1,1,1,5,4,5,5,5,4,5,4,5,5,4,5,5,5,4,4,5,5,4,4,4,5,5,5,4,5,5,4,5,4,5,5,5,4,5,4,5,5,22
47,1,1,1,1,0,5,5,5,5,4,4,4,5,5,5,5,4,4,4,5,5,5,5,4,4,4,5,5,5,5,4,5,5,4,5,4,5,4,5,4,4,4,5,22
48,1,1,1,1,1,5,4,4,4,5,4,4,5,5,4,5,5,4,5,5,4,5,5,4,5,4,5,5,5,4,5,5,5,4,5,4,5,4,5,4,5,4,5,22
49,1,1,1,1,1,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,5,5,4,5,5,24
50,1,2,1,1,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,2,5,2,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,5,5,4,4,5,21
51,1,2,1,1,1,5,4,5,5,4,5,5,4,5,4,5,5,5,4,5,4,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,4,4,5,5,4,5,4,25
52,1,2,1,1,1,5,5,4,4,5,4,5,4,5,5,5,5,4,5,5,4,5,4,5,4,5,4,5,5,4,5,4,5,5,4,5,4,5,4,5,4,5,5,25
53,1,1,1,1,1,5,5,4,5,4,5,5,5,5,4,5,4,5,4,5,5,5,4,5,4,3,5,5,4,5,4,5,5,4,5,4,5,4,5,5,4,5,5,25
54,1,2,1,1,1,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,5,4,5,5,4,4,5,5,4,5,5,4,5,5,5,4,5,5,24
55,1,1,1,1,1,5,4,5,4,5,4,5,5,4,5,5,4,5,4,5,5,5,4,5,4,5,5,4,5,4,5,4,5,5,5,4,5,4,5,4,5,5,4,25
56,1,3,1,1,1,5,4,5,5,4,5,4,5,4,5,5,5,5,4,5,5,4,5,4,4,5,5,4,4,5,4,5,5,4,5,4,5,4,5,5,4,5,4,24
57,1,3,1,1,1,5,4,4,2,5,3,5,5,4,4,5,4,5,4,5,4,5,4,5,4,5,5,4,4,5,5,4,5,4,5,5,4,5,5,4,5,5,4,26
58,1,1,1,1,1,4,5,4,5,5,4,5,5,4,4,4,5,5,4,5,4,3,4,4,4,4,5,5,4,5,5,5,5,4,5,5,5,4,5,5,5,5,5,24
59,1,3,1,1,1,5,4,3,5,4,5,5,4,4,5,5,4,5,4,5,5,4,5,4,5,4,5,4,5,5,4,4,5,4,5,5,4,4,4,5,5,4,5,22
60,1,2,1,1,1,4,4,5,5,4,3,5,5,4,5,4,5,4,5,4,5,4,5,4,5,5,5,4,4,5,5,4,5,4,5,4,5,5,4,5,4,4,5,26
61,1,3,1,1,1,5,5,4,3,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,5,4,5,5,4,4,26
62,1,3,1,1,1,5,4,5,5,4,5,4,5,5,4,5,5,4,5,5,4,5,4,5,4,5,5,5,5,4,5,5,4,5,5,4,5,5,5,4,5,5,5,26
63,1,1,1,1,1,5,4,5,5,4,5,5,4,5,5,4,5,4,5,5,4,5,5,4,5,5,4,4,5,5,5,4,5,5,5,5,5,4,5,5,4,5,5,25
